,№ п/п,Наименование / ФИО,Категория,ОГРН,ИНН,Регион,Город,Дата включения в реестр,Наличие лицензий,"Наличие заключенных договоров, контрактов","Производство инновационной, высокотехнологичной продукции",Среднесписочная численность работников за предшествующий календарный год,id,gainSum2019,gainSum2020,gainSum2021,gainSum2022,gainSum2023,longitude,latitude
34,4843,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ГЛАВУКС""",Малое предприятие,1027700355165,5000000218,77 - г.Москва,,2017-10-08,Нет,Нет,Нет,15.0,4619380,431795.0,1076863.0,508680.0,136519.0,59414.0,37.554268,55.7826
35,4858,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ГРАЖДАНСТРОЙ""",Малое предприятие,1026701420877,6731010189,67 - Смоленская область,г Смоленск,2022-10-09,Нет,Нет,Нет,56.0,3397072,63579.0,58027.0,47954.0,52547.0,23332.0,32.047268,54.76772
36,4859,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ГРАНИ ГОРОДА""",Среднее предприятие,1225000056270,5044125655,77 - г.Москва,,2023-10-07,Нет,Нет,Нет,47.0,11863703,,,,1943311.0,3724263.0,,
38,4875,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ДАЛЕР СТРОЙ""",Малое предприятие,1217700121980,7743356592,77 - г.Москва,,2021-10-04,Нет,Нет,Нет,1.0,11547532,,,2071.0,193778.0,,37.49493,55.849888
39,4877,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ДАЛЬМОРМОНТАЖ-ВОСТОЧНЫЙ""",Малое предприятие,1022500703818,2508045333,25 - Приморский край,г Находка,2017-10-08,Нет,Нет,Нет,42.0,5476291,176841.0,136057.0,125292.0,34425.0,55704.0,132.8925,42.823627
42,4894,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ДИАПАЗОН""",Малое предприятие,1027807560967,7814027004,78 - г.Санкт-Петербург,,2017-10-08,Да,Нет,Нет,24.0,7051564,101643.0,329710.0,186651.0,399609.0,226298.0,30.270311,59.937054
44,4901,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ДОЛГОПРУДНЕНСКОЕ УПРАВЛЕНИЕ КАПИТАЛЬНОГО СТРОИТЕЛЬСТВА""",Малое предприятие,1025001200762,5025012896,50 - Московская область,г Долгопрудный,2017-10-08,Нет,Нет,Нет,13.0,5950195,562692.0,21339.0,937.0,4312.0,1353.0,37.40911,55.893463
45,4906,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ДОМОСТРОИТЕЛЬНАЯ КОМПАНИЯ""-СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК""",Малое предприятие,1023101658425,3123040930,31 - Белгородская область,г Белгород,2017-10-08,Нет,Нет,Нет,32.0,1105465,77484.0,58083.0,149060.0,4987.0,222337.0,36.586514,50.614616
46,4907,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ДОМОСТРОИТЕЛЬНЫЙ КОМБИНАТ № 1""",Малое предприятие,1027739273847,7714046959,77 - г.Москва,,2022-10-07,Да,Нет,Нет,,4136308,7222840.0,2514668.0,462493.0,51080.0,174384.0,37.554268,55.7826
47,4908,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ДОМОСТРОИТЕЛЬНЫЙ КОМБИНАТ №2""",Малое предприятие,1025204417160,5263001814,52 - Нижегородская область,г Нижний Новгород,2017-10-08,Нет,Нет,Нет,38.0,2372648,314157.0,95542.0,117318.0,49923.0,88392.0,43.837456,56.344105
48,4916,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ДОРОЖНЫЙ ЦЕНТР ВНЕДРЕНИЯ""",Малое предприятие,1026402204333,6450042805,64 - Саратовская область,г Саратов,2023-10-07,Да,Нет,Нет,6.0,6277778,18641.0,6611.0,3493.0,104839.0,225684.0,46.021707,51.525729
49,4918,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ДСК""",Малое предприятие,1022402648674,2466000401,24 - Красноярский край,г Красноярск,2017-10-08,Нет,Нет,Нет,47.0,5466240,281648.0,106513.0,54855.0,50728.0,37878.0,92.879585,56.01609
51,4920,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ДСУ-3""",Малое предприятие,1026002142077,6013000288,60 - Псковская область,г Остров,2017-10-08,Да,Нет,Нет,16.0,6097592,18947.0,8375.0,8585.0,14397.0,8923.0,28.34597,57.342144
52,4924,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЕКБ-ОТДЕЛСТРОЙ""",Среднее предприятие,1076670001682,6670160730,66 - Свердловская область,г Екатеринбург,2017-10-08,Нет,Нет,Нет,53.0,3400351,1110226.0,1006929.0,1179011.0,1150122.0,1214657.0,60.60932,56.78366
53,4929,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЖИЗДРИНСКАЯ ПМК""",Малое предприятие,1024000598797,4006002065,40 - Калужская область,г. Жиздра,2017-10-08,Нет,Нет,Нет,16.0,5793466,13462.0,11401.0,13986.0,12262.0,18633.0,34.440205,53.86516
54,4936,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЖИЛТРАНС""",Малое предприятие,1127746276041,7733799210,76 - Ярославская область,г Ярославль,2017-10-08,Да,Нет,Нет,76.0,1608392,100867.0,148214.0,135884.0,163760.0,162470.0,39.86856,57.62693
55,4942,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЗАРЕЧЬЕ""",Малое предприятие,1021603884785,1653008582,16 - Республика Татарстан (Татарстан),г Казань,2023-10-07,Да,Нет,Нет,16.0,6725963,29779.0,19788.0,23002.0,19784.0,98207.0,49.10336,55.833813
56,4952,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЗОНАЛЬНОЕ""",Малое предприятие,1026501180947,6517004027,65 - Сахалинская область,,2017-10-08,Да,Нет,Нет,7.0,7006096,124439.0,72830.0,65038.0,24541.0,23187.0,142.66734,50.852497
57,4953,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ИМПУЛЬС""",Малое предприятие,1022500616104,2528000926,25 - Приморский край,,2017-10-08,Да,Нет,Нет,32.0,5483298,38038.0,53831.0,39036.0,48581.0,41504.0,132.8925,42.823627
58,4967,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ИНВЕСТСТРОЙГАРАНТ""",Малое предприятие,1047796125112,7705585440,77 - г.Москва,,2017-10-08,Нет,Нет,Нет,17.0,4664933,134136.0,62065.0,46126.0,133789.0,126884.0,37.66385,55.648308
60,4979,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ИННОВАЦИОННОЕ УПРАВЛЕНИЕ СТРОИТЕЛЬСТВОМ""",Малое предприятие,1037739552795,7719243661,77 - г.Москва,,2017-10-08,Нет,Нет,Нет,23.0,5334681,430904.0,72498.0,85761.0,55908.0,67865.0,37.822178,55.809975
61,4994,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ИНЭФКОР""",Малое предприятие,1027700462162,7720019008,77 - г.Москва,,2019-10-11,Да,Нет,Нет,29.0,7142336,95302.0,155205.0,52340.0,41916.0,79957.0,37.756973,55.686058
62,5003,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КАЛИНИНГРАДАГРОСТРОЙ""",Малое предприятие,1023901012772,3906034170,39 - Калининградская область,г Калининград,2017-10-08,Да,Нет,Нет,27.0,5821596,12953.0,11697.0,13005.0,14222.0,14316.0,20.547588,54.711821
63,5011,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КАПИТАЛЬНОЕ СТРОИТЕЛЬСТВО И РЕКОНСТРУКЦИЯ""",Малое предприятие,1167746813299,7714406538,77 - г.Москва,,2018-10-08,Нет,Нет,Нет,87.0,9894816,515041.0,557154.0,366471.0,433034.0,249511.0,37.554268,55.7826
65,5020,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КЁНИГ-ХОЛЬЦ""",Малое предприятие,1023902053251,3903008430,39 - Калининградская область,г Светлогорск,2017-10-08,Да,Нет,Нет,21.0,5832296,47670.0,33113.0,21135.0,79198.0,52083.0,20.593227,54.77788
67,5037,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КОМПАНИЯ ""СВЯЗЬ И ИНФОРМАЦИОННЫЕ ТЕХНОЛОГИИ""",Малое предприятие,1027719011924,7719258347,77 - г.Москва,,2018-10-08,Да,Нет,Нет,5.0,4134028,274205.0,136946.0,78811.0,53920.0,9594.0,37.64813,55.8064
68,5038,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КОМПАНИЯ СПЕЦСТРОЙРЕКОНСТРУКЦИЯ""",Малое предприятие,1107746371380,7729655368,77 - г.Москва,,2022-10-09,Да,Нет,Нет,19.0,862851,1434170.0,125195.0,146575.0,8314.0,,37.605785,55.659355
69,5044,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КОМПЛЕКСНЫЕ СТРОИТЕЛЬНЫЕ РЕШЕНИЯ""",Малое предприятие,1097604007445,7604156684,76 - Ярославская область,г Ярославль,2017-10-08,Нет,Нет,Нет,19.0,4344344,100921.0,139603.0,113380.0,81338.0,0.0,39.86856,57.62693
70,5048,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КОНСАЛТИНГСТРОЙИНВЕСТ""",Малое предприятие,1137017014155,7017334036,70 - Томская область,г Томск,2017-10-08,Да,Нет,Нет,146.0,7980233,592553.0,343965.0,751496.0,1120706.0,1766557.0,84.96818,56.475487
71,5049,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КОНТИ""",Среднее предприятие,1157746740920,9701004970,77 - г.Москва,,2017-10-08,Нет,Нет,Нет,74.0,9359140,948300.0,933538.0,939184.0,1124718.0,1534289.0,37.605785,55.659355
72,5051,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КОНЦЕРН ""ЦЭМ""",Малое предприятие,1026200955494,6228038066,62 - Рязанская область,г Рязань,2017-10-08,Нет,Нет,Нет,8.0,3016871,102887.0,87507.0,385223.0,247949.0,47267.0,39.71181,54.62677
73,5056,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КОТТЕДЖ-ИНДУСТРИЯ""",Малое предприятие,1023601232995,3627008639,36 - Воронежская область,г Россошь,2017-10-08,Да,Нет,Нет,19.0,6825380,411353.0,365100.0,177863.0,202177.0,375932.0,39.50527,50.979603
74,5057,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КОШЕЛЕВ-ПРОЕКТ""",Малое предприятие,1026300770099,6312040240,63 - Самарская область,г Самара,2019-10-08,Нет,Нет,Нет,4.0,3090099,357300.0,29110.0,183001.0,94504.0,16936.0,50.223495,53.240223
75,5060,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КРАСНОДАРСКИЙ ЗАВОД ЖЕЛЕЗОБЕТОННЫХ ИЗДЕЛИЙ №1""",Среднее предприятие,1022301812785,2311011320,23 - Краснодарский край,г Краснодар,2023-10-07,Нет,Нет,Нет,11.0,6755700,1649572.0,2636818.0,2385238.0,1652665.0,1277064.0,38.95408,45.05121
76,5062,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КРАСНОПОЛЯНСКАЯ ПТИЦЕФАБРИКА""",Малое предприятие,1025003520057,5029014809,50 - Московская область,г Мытищи,2023-10-10,Да,Нет,Нет,29.0,5884142,57292.0,61548.0,58821.0,66140.0,83324.0,37.71863,55.90775
77,5072,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КРЫМСТРОЙ""",Малое предприятие,1149102093645,9102046280,91 - Республика Крым,г Симферополь,2017-10-08,Нет,Нет,Нет,26.0,8963993,130538.0,119857.0,49851.0,48228.0,49610.0,34.100318,44.948237
78,5076,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КУРОРТСТРОЙ""",Малое предприятие,1022300768270,2304016990,23 - Краснодарский край,г Геленджик,2017-10-08,Да,Нет,Нет,71.0,6773791,415110.0,535938.0,372993.0,404889.0,718195.0,38.07767,44.562664
79,5094,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МАВР-БЕЛГОРОД""",Малое предприятие,1083128000890,3128065293,31 - Белгородская область,г Старый Оскол,2017-10-08,Нет,Нет,Нет,14.0,3785890,162644.0,123655.0,163419.0,180648.0,140260.0,37.881641,51.312783
80,5095,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МАГНИТОСТРОЙ""",Малое предприятие,1027402053755,7414000992,74 - Челябинская область,г Магнитогорск,2017-10-08,Да,Нет,Нет,2.0,3719625,94131.0,73292.0,115932.0,90819.0,121737.0,58.976715,53.387398
81,5099,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МАХАЧКАЛИНСКИЙ ДОМОСТРОИТЕЛЬНЫЙ КОМБИНАТ""",Малое предприятие,1020502528397,541000015,05 - Республика Дагестан,г Махачкала,2019-10-08,Нет,Нет,Нет,29.0,6633437,9327.0,9884.0,24887.0,69215.0,46626.0,47.50779,42.95503
