№ п/п,Наименование / ФИО,Категория,ОГРН,ИНН,Регион,Город,Дата включения в реестр,Наличие лицензий,"Наличие заключенных договоров, контрактов","Производство инновационной, высокотехнологичной продукции",Среднесписочная численность работников за предшествующий календарный год,gainSum2019,gainSum2020,gainSum2021,gainSum2022,gainSum2023
225899,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЖИЛСТРОЙ""",Малое предприятие,1226100005944,6148013115,61 - Ростовская область,г Красный Сулин,2022-10-04,Нет,Нет,Нет,17.0,,,,42456,60604
225949,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЖИЛСТРОЙ""",Малое предприятие,1211400005475,1435360650,14 - Республика Саха (Якутия),г Якутск,2021-10-06,Нет,Нет,Нет,0.0,,,56011,250897,90330
225962,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЖИЛСТРОЙЗАКАЗЧИК""",Малое предприятие,1113528007724,3528180533,35 - Вологодская область,г Череповец,2016-01-08,Нет,Нет,Нет,22.0,2005,2268,1208,675,412877
226002,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЖИЛСТРОЙМОНТАЖ""",Малое предприятие,1205000009060,5044118055,50 - Московская область,г Солнечногорск,2020-10-03,Нет,Нет,Нет,55.0,,124186,185089,100171,145387
226036,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЖИЛСТРОЙСЕРВИС""",Малое предприятие,1084632006733,4632095371,31 - Белгородская область,г Белгород,2016-01-08,Нет,Нет,Нет,10.0,135875,142211,194057,210021,21254
226050,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЖИЛСТРОЙСЕРВИС""",Малое предприятие,1052918001762,2918007035,29 - Архангельская область,г Няндома,2016-01-08,Нет,Нет,Нет,31.0,24546,21278,18568,45209,48668
226061,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЖИЛСТРОЙТРЕСТ""",Малое предприятие,1061001063001,1001177997,10 - Республика Карелия,г Петрозаводск,2016-01-08,Нет,Нет,Нет,17.0,37937,39504,64838,24296,6069
226063,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЖИЛСТРОЙЦЕНТР""",Малое предприятие,1163702068375,3702156244,37 - Ивановская область,г Иваново,2016-01-08,Да,Нет,Нет,8.0,210943,136566,78102,116324,444649
226087,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЖИЛЬЕ XXI ВЕКА""",Малое предприятие,1062635137564,2635094975,26 - Ставропольский край,г Ставрополь,2016-01-08,Нет,Нет,Нет,13.0,77789,17911,22026,33452,20216
226114,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЖИЭЛ""",Малое предприятие,1102223006930,2223577370,22 - Алтайский край,г Барнаул,2016-01-08,Нет,Нет,Нет,1.0,59417,30229,453,0,
