№ п/п,Наименование / ФИО,Категория,ОГРН,ИНН,Регион,Город,Дата включения в реестр,Наличие лицензий,"Наличие заключенных договоров, контрактов","Производство инновационной, высокотехнологичной продукции",Среднесписочная численность работников за предшествующий календарный год,id
384780,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СОЧИСТРОЙ - АРД""",Малое предприятие,1072320000873,2320147408,23 - Краснодарский край,г Сочи,2016-01-08,Нет,Нет,Нет,6.0,6489820
384960,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СОЮЗ СТРОЙ""",Малое предприятие,1161690057540,1609036742,16 - Республика Татарстан (Татарстан),г Арск,2016-01-08,Нет,Нет,Нет,43.0,9600199
384973,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СОЮЗ ЭНЕРГО СТРОЙ""",Малое предприятие,1132311007410,2311159020,23 - Краснодарский край,г Краснодар,2016-01-08,Да,Нет,Нет,66.0,8056937
385011,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СОЮЗ-ИНЖИНИРИНГ""",Малое предприятие,1222400009150,2464158432,24 - Красноярский край,г Красноярск,2022-10-05,Да,Нет,Нет,2.0,11826312
385038,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СОЮЗ-НК""",Малое предприятие,1164205057191,4217176399,42 - Кемеровская область,г Новокузнецк,2016-01-08,Да,Нет,Нет,20.0,9684842
385054,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СОЮЗ-СПЕЦСВЯЗЬСТРОЙ""",Малое предприятие,1149204014497,9204007410,92 - г.Севастополь,,2016-01-08,Нет,Нет,Нет,35.0,8797529
385305,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СОЮЗ""",Малое предприятие,1127847096520,7810859153,78 - г.Санкт-Петербург,,2016-01-08,Нет,Нет,Нет,27.0,2392666
385310,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СОЮЗ""",Малое предприятие,1144611000490,4634011867,46 - Курская область,,2016-01-08,Нет,Нет,Нет,26.0,8483994
385311,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СОЮЗ""",Малое предприятие,1091841000020,1841001212,18 - Удмуртская Республика,,2016-01-08,Нет,Нет,Нет,15.0,1156689
385313,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СОЮЗ""",Малое предприятие,1025800547695,5819004230,58 - Пензенская область,г Кузнецк,2016-01-08,Да,Нет,Нет,12.0,2785576
385316,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СОЮЗ""",Малое предприятие,1164704066009,4727003604,47 - Ленинградская область,г Кириши,2016-10-12,Да,Нет,Нет,20.0,10008940
385334,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СОЮЗАГРОСТРОЙ""",Малое предприятие,1207800001310,7810785494,71 - Тульская область,г Тула,2021-10-07,Нет,Нет,Нет,1.0,11224485
385375,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СОЮЗДОРСТРОЙ""",Малое предприятие,1102367003089,2317057426,23 - Краснодарский край,г Сочи,2016-01-08,Нет,Нет,Нет,30.0,1081875
385456,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СОЮЗПРОМТОРГ""",Малое предприятие,1187154022560,7105055874,71 - Тульская область,г Тула,2018-10-10,Да,Нет,Нет,18.0,10802239
385469,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СОЮЗРУССТРОЙ""",Малое предприятие,1136317004493,6317097850,63 - Самарская область,г Самара,2016-01-08,Да,Нет,Нет,50.0,8089494
385476,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СОЮЗСПЕЦРЕСТАВРАЦИЯ""",Малое предприятие,1177847196911,7810690443,78 - г.Санкт-Петербург,,2017-10-07,Да,Нет,Нет,18.0,10252644
385480,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СОЮЗСПЕЦСТРОЙ""",Среднее предприятие,1022202411296,2263010348,36 - Воронежская область,г Воронеж,2016-01-08,Нет,Нет,Нет,65.0,5221026
385587,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СОЮЗСТРОЙ""",Малое предприятие,5167746304105,7703419302,77 - г.Москва,,2016-10-11,Нет,Нет,Нет,4.0,9984223
385605,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СОЮЗСТРОЙИНВЕСТ""",Малое предприятие,1112130001060,2130083717,21 - Чувашская Республика - Чувашия,г Чебоксары,2016-01-08,Да,Нет,Нет,7.0,3306988
385668,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СОЮЗТЕПЛОМОНТАЖ""",Малое предприятие,1156027005034,6025046872,60 - Псковская область,г Великие Луки,2016-01-08,Нет,Нет,Нет,23.0,9302364
385672,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СОЮЗТЕХНО""",Малое предприятие,1123528004269,3528188998,50 - Московская область,г Ступино,2016-01-08,Нет,Нет,Нет,5.0,804518
385707,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СОЮЗЭНЕРГОКОМПЛЕКТ""",Малое предприятие,1116188001445,6101929470,77 - г.Москва,,2016-01-08,Да,Нет,Нет,8.0,129984
385727,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СП ""ЮЖНО-УРАЛЬСКАЯ СТРОИТЕЛЬНАЯ КОМПАНИЯ""",Среднее предприятие,1107448005895,7448130326,74 - Челябинская область,г Челябинск,2016-01-08,Нет,Нет,Нет,115.0,368695
385775,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СП МЕНЕДЖМЕНТ""",Малое предприятие,1162366058359,2320243567,23 - Краснодарский край,г Сочи,2016-10-10,Да,Нет,Нет,18.0,9942857
385824,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СП ЭНЕРДЖИ""",Малое предприятие,1147847243862,7804536838,78 - г.Санкт-Петербург,,2016-01-08,Нет,Нет,Нет,33.0,8616048
385834,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СП-33""",Малое предприятие,1185658002375,5638073104,56 - Оренбургская область,г Оренбург,2018-10-03,Нет,Нет,Нет,13.0,10542142
385843,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СП-ГАРАНТ""",Малое предприятие,1157448013172,7448187393,74 - Челябинская область,г Челябинск,2016-01-08,Нет,Нет,Нет,11.0,9562733
