№ п/п,Наименование / ФИО,Категория,ОГРН,ИНН,Регион,Город,Дата включения в реестр,Наличие лицензий,"Наличие заключенных договоров, контрактов","Производство инновационной, высокотехнологичной продукции",Среднесписочная численность работников за предшествующий календарный год,id
138587,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АВТОМОЛОТ СТРОЙ""",Малое предприятие,1195081078422,5029251415,77 - г.Москва,,2021-10-07,Нет,Нет,Нет,1.0,11156069
138643,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АВТОПРОГРЕСС""",Малое предприятие,1147746026240,7718963804,77 - г.Москва,,2016-01-08,Нет,Нет,Нет,8.0,8291018
138781,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АВТОСТАРТ""",Малое предприятие,1227700373064,7714487632,77 - г.Москва,,2022-10-07,Нет,Нет,Нет,5.0,11880438
138785,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АВТОСТРАДА",Малое предприятие,1156658091810,6670357871,66 - Свердловская область,г Екатеринбург,2016-01-08,Нет,Нет,Нет,29.0,9518359
138850,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АВТОСТРОЙ""",Малое предприятие,1227700074414,7743375429,77 - г.Москва,,2022-10-03,Нет,Нет,Нет,1.0,11776704
138858,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АВТОСТРОЙАКТИВ""",Малое предприятие,1077757817543,7705799995,77 - г.Москва,,2016-01-08,Да,Нет,Нет,33.0,5816293
138882,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АВТОСТРОЙМОНТАЖ-Л""",Малое предприятие,1134827002320,4823057031,68 - Тамбовская область,,2016-01-08,Да,Нет,Нет,44.0,7867015
139016,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АВУАР""",Малое предприятие,1177746239131,7704397203,50 - Московская область,г. Электросталь,2017-10-04,Да,Нет,Нет,5.0,10139226
139044,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АГ СТРОЙ СЕРВИС""",Малое предприятие,1189112037180,9109022351,91 - Республика Крым,г Саки,2018-10-11,Нет,Нет,Нет,62.0,10809490
139136,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АГАТ""",Малое предприятие,1227700593130,9725096458,77 - г.Москва,,2022-10-10,Нет,Нет,Нет,0.0,11948113
139172,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АГАТ""",Малое предприятие,1177232023066,7203426460,72 - Тюменская область,г Тюмень,2017-10-09,Нет,Нет,Нет,16.0,10329795
139235,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АГАТ""",Малое предприятие,1157746047073,7724303108,77 - г.Москва,,2016-01-08,Нет,Нет,Нет,6.0,9050595
139278,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АГАТСТРОЙ""",Малое предприятие,1117746519197,7702765476,77 - г.Москва,,2016-01-08,Нет,Нет,Нет,8.0,4672772
139496,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АГР-ИНВЕСТ""",Малое предприятие,1182901020103,2901294960,29 - Архангельская область,г Архангельск,2019-10-01,Нет,Нет,Нет,1.0,10881468
139511,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АГРАРНОЕ СТРОИТЕЛЬСТВО И ТЕХНОЛОГИИ""",Малое предприятие,1122651007126,2635810450,20 - Чеченская Республика,г Грозный,2016-01-08,Да,Нет,Нет,36.0,2229449
139534,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АГРИЙ""",Малое предприятие,1159102112542,9102192386,91 - Республика Крым,г Симферополь,2016-01-08,Нет,Нет,Нет,2.0,9359727
139535,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АГРИК-КРОВЕЛЬНЫЕ СИСТЕМЫ""",Малое предприятие,1034205018737,4205032650,42 - Кемеровская область,г Кемерово,2016-01-08,Да,Нет,Нет,31.0,5807163
139553,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АГРО ГРУПП КАПИТАЛ""",Малое предприятие,1187627008172,7604340725,76 - Ярославская область,г Ярославль,2018-10-04,Нет,Нет,Нет,4.0,10583589
139565,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АГРО СТРОЙ ГАРАНТ""",Малое предприятие,1173668056638,3661083636,36 - Воронежская область,г Воронеж,2017-10-12,Нет,Нет,Нет,24.0,10436016
139621,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АГРО-СТРОЙИНДУСТРИЯ""",Малое предприятие,1151840005382,1840039862,59 - Пермский край,г Чайковский,2016-01-08,Нет,Нет,Нет,57.0,9220603
139659,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АГРОГАЗСТРОЙ""",Малое предприятие,1085745000032,5705003352,57 - Орловская область,,2016-01-08,Нет,Нет,Нет,10.0,2982082
139670,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АГРОДОРСПЕЦСТРОЙ КАРАСУК""",Малое предприятие,1055474018467,5422110875,54 - Новосибирская область,г Карасук,2016-01-08,Нет,Нет,Нет,43.0,4346974
139671,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АГРОДОРСПЕЦСТРОЙ ТАТАРСК""",Малое предприятие,1055468006010,5453175431,54 - Новосибирская область,г Татарск,2016-01-08,Нет,Нет,Нет,26.0,4101246
139780,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АГРОПРОЕКТ""",Малое предприятие,1177847209430,7810693130,78 - г.Санкт-Петербург,,2017-10-07,Да,Нет,Нет,8.0,10266423
139787,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АГРОПРОЕКТСЕРВИС""",Малое предприятие,1163668114873,3664224204,36 - Воронежская область,г Воронеж,2016-10-12,Нет,Нет,Нет,47.0,9986823
139924,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АГРОСНАБ-ЮГ""",Малое предприятие,1032305707807,2310088087,23 - Краснодарский край,г Краснодар,2018-10-08,Нет,Нет,Нет,20.0,3636189
139933,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АГРОСОЮЗ""",Среднее предприятие,1022304871907,2354007198,23 - Краснодарский край,,2016-01-08,Да,Нет,Нет,28.0,987081
139945,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АГРОСПЕЦМОНТАЖ""",Малое предприятие,1062308008003,2308114879,23 - Краснодарский край,г Краснодар,2016-01-08,Нет,Нет,Нет,28.0,6154529
139963,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АГРОСПЕЦТРЕЙД""",Малое предприятие,1133443032128,3459006718,34 - Волгоградская область,г Волгоград,2018-10-08,Нет,Нет,Нет,10.0,8199838
139998,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АГРОСТРОЙ""",Малое предприятие,1151832026730,1841059220,16 - Республика Татарстан (Татарстан),г. Кукмор,2016-01-08,Нет,Нет,Нет,7.0,9560760
139999,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АГРОСТРОЙ""",Малое предприятие,1157017003835,7017372063,70 - Томская область,г Томск,2016-01-08,Нет,Нет,Нет,2.0,9117450
140019,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АГРОСТРОЙ""",Малое предприятие,1156313042049,6330068079,63 - Самарская область,,2016-01-08,Нет,Нет,Нет,76.0,9355585
140027,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АГРОСТРОЙ""",Малое предприятие,1145044003070,5044092030,50 - Московская область,г Солнечногорск,2016-01-08,Нет,Нет,Нет,30.0,8889689
140059,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АГРОСТРОЙ""",Малое предприятие,1055005604400,5030048672,77 - г.Москва,,2021-10-07,Нет,Нет,Нет,10.0,4034014
140165,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АГРОСТРОЙПРОГРЕСС""",Малое предприятие,1034004202297,4025071770,40 - Калужская область,г Обнинск,2016-01-08,Да,Нет,Нет,85.0,5841757
140189,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АГРОСТРОЙСЕРВИС""",Малое предприятие,1041308001866,1307077728,13 - Республика Мордовия,,2016-01-08,Нет,Нет,Нет,27.0,172508
140220,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АГРОТЕХ""",Малое предприятие,1182375033609,2311257676,78 - г.Санкт-Петербург,,2018-10-05,Да,Нет,Нет,70.0,10662862
140247,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АГРОТЕХСТРОЙ""",Малое предприятие,1163850067920,3851017416,38 - Иркутская область,,2016-01-08,Нет,Нет,Нет,34.0,9733501
140254,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АГРОТИП""",Малое предприятие,1142368000917,2368005560,77 - г.Москва,,2016-01-08,Нет,Нет,Нет,10.0,8540935
140460,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АДАМАНТ""",Малое предприятие,1135658002710,5610151553,56 - Оренбургская область,г Оренбург,2016-01-08,Нет,Нет,Нет,22.0,7709824
140528,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АДАСТРОЙ""",Малое предприятие,1067760583110,7723594422,50 - Московская область,г Солнечногорск,2016-01-08,Нет,Нет,Нет,1.0,4778020
140529,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АДАСТРОЙ""",Малое предприятие,1177746656240,7722405778,77 - г.Москва,,2017-10-08,Да,Нет,Нет,10.0,10290891
140663,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АДЕПТ-ЛЕС""",Малое предприятие,1165321058396,5310021306,53 - Новгородская область,,2017-10-01,Нет,Нет,Нет,17.0,10029701
140734,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АДК""",Малое предприятие,5157746066957,7726361176,77 - г.Москва,,2016-01-08,Нет,Нет,Нет,5.0,9511264
140824,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АДМИРАЛСТРОЙ""",Малое предприятие,1142543004515,2543043360,25 - Приморский край,г Владивосток,2016-01-08,Нет,Нет,Нет,13.0,8403810
140859,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АДОНИС""",Малое предприятие,1082801005770,2801133373,28 - Амурская область,г Благовещенск,2016-01-08,Да,Нет,Нет,1.0,2793692
140875,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АДРЕНАЛИН""",Малое предприятие,1117232016770,7204168124,72 - Тюменская область,г Тюмень,2016-01-08,Нет,Нет,Нет,19.0,5128845
140909,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АДС-ГАЗЭНЕРГОСЕРВИС""",Малое предприятие,1163025050924,3019017765,30 - Астраханская область,г Астрахань,2016-01-08,Нет,Нет,Нет,12.0,9618535
140962,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АДЮТОН-Н""",Среднее предприятие,1117746272401,7720714650,77 - г.Москва,,2016-01-08,Да,Нет,Нет,38.0,5415438
140986,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЕП ГРУПП""",Малое предприятие,1137847506477,7802847161,78 - г.Санкт-Петербург,,2016-01-08,Да,Нет,Нет,22.0,8288810
141093,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЗБУКА СТРОИТЕЛЬСТВА""",Малое предприятие,1227700257036,9725082737,77 - г.Москва,,2023-10-11,Нет,Нет,Нет,21.0,11840826
141192,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЗИМУТ-СЕРВИС""",Малое предприятие,1223900005438,3906413299,39 - Калининградская область,г Калининград,2022-10-06,Нет,Нет,Нет,1.0,11855261
141389,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЗИМУТ""",Малое предприятие,1227800126784,7814813897,78 - г.Санкт-Петербург,,2022-10-10,Нет,Нет,Нет,0.0,11954280
141399,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЗИМУТ""",Малое предприятие,1227700375550,7730281195,77 - г.Москва,,2022-10-07,Нет,Нет,Нет,0.0,11881094
141513,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЗИЯ МИКС""",Малое предприятие,1137746766398,7722817274,77 - г.Москва,,2016-01-08,Нет,Нет,Нет,1.0,8074213
141516,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЗИЯ ПЛЮС""",Малое предприятие,1196027002698,6025051657,78 - г.Санкт-Петербург,,2019-10-04,Нет,Нет,Нет,6.0,10970001
141536,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЗИЯ""",Малое предприятие,1057402504884,7404040410,74 - Челябинская область,г Златоуст,2016-01-08,Нет,Нет,Нет,31.0,3682280
141540,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЗИЯ""",Малое предприятие,1162724082510,2722074301,27 - Хабаровский край,г Хабаровск,2016-10-11,Да,Нет,Нет,11.0,9950397
141547,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЗИЯ""",Малое предприятие,1222800002501,2804020586,28 - Амурская область,г Белогорск,2022-10-05,Нет,Нет,Нет,29.0,11837928
141589,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЗНАКАЕВСКАЯ ПЕРЕДВИЖНАЯ МЕХАНИЗИРОВАННАЯ КОЛОННА""",Малое предприятие,1101688000050,1643011410,16 - Республика Татарстан (Татарстан),г Азнакаево,2016-01-08,Нет,Нет,Нет,37.0,2956613
141604,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЗОВСКИЙ СТРОИТЕЛЬНЫЙ ОТДЕЛ""",Малое предприятие,1095509000201,5509006942,55 - Омская область,,2016-01-08,Нет,Нет,Нет,9.0,2607587
141605,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЗОВСТРОЙ""",Малое предприятие,1166196071360,6140004091,61 - Ростовская область,г Азов,2016-01-08,Нет,Нет,Нет,18.0,9721768
141618,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЗОН""",Малое предприятие,1131690082116,1658151554,16 - Республика Татарстан (Татарстан),г Казань,2016-01-08,Нет,Нет,Нет,15.0,8193367
141668,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЗУР""",Малое предприятие,1186658010000,6685145326,66 - Свердловская область,г Екатеринбург,2018-10-03,Да,Нет,Нет,26.0,10539139
141717,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АИК СФЕРАПРО""",Малое предприятие,1185027007945,5003127639,50 - Московская область,г Видное,2018-10-05,Нет,Нет,Нет,4.0,10647419
141718,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АИК ЭНЕРГО""",Малое предприятие,1117847388438,7813512713,78 - г.Санкт-Петербург,,2016-01-08,Да,Нет,Нет,48.0,4027884
141748,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АИР ГРУПП""",Среднее предприятие,1217700614691,9717108903,77 - г.Москва,,2022-10-01,Нет,Нет,Нет,8.0,11736218
141755,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АИР-СТРОЙ""",Малое предприятие,1183256006317,3257063086,32 - Брянская область,г Брянск,2018-10-09,Нет,Нет,Нет,25.0,10760730
141811,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АИСТ ДЕВЕЛОПМЕНТ""",Малое предприятие,1155543033139,5504126770,55 - Омская область,г Омск,2016-01-08,Нет,Нет,Нет,41.0,9390726
141917,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЙБАР""",Малое предприятие,1227700275330,9726013006,77 - г.Москва,,2022-10-06,Нет,Нет,Нет,9.0,11847234
142012,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЙКОМ ИНЖИНИРИНГ""",Малое предприятие,1205000009268,5027283637,50 - Московская область,г Дзержинский,2020-10-03,Нет,Нет,Нет,36.0,11241475
142018,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЙКОН ГРУПП""",Малое предприятие,5157746012397,7703400936,77 - г.Москва,,2016-01-08,Да,Нет,Нет,44.0,9486502
142090,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЙПЕТРИ""",Малое предприятие,1137746069340,7731440592,77 - г.Москва,,2016-01-08,Нет,Нет,Нет,12.0,7711584
142102,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЙР-ГРУПП""",Малое предприятие,1151690085051,1655339420,16 - Республика Татарстан (Татарстан),г Казань,2016-01-08,Нет,Нет,Нет,6.0,9467989
142207,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЙСБЕРГ""",Малое предприятие,1174704012559,4705074601,47 - Ленинградская область,г Гатчина,2017-10-10,Нет,Нет,Нет,52.0,10390279
142235,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЙСБЕРГ""",Малое предприятие,1141674003030,1646039205,16 - Республика Татарстан (Татарстан),,2016-01-08,Да,Нет,Нет,7.0,8868608
142392,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АК-БИЛДИНГ""",Среднее предприятие,1157746288017,7719408521,77 - г.Москва,,2016-01-08,Да,Нет,Нет,95.0,9160024
142400,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АК-МЕТРО""",Среднее предприятие,5157746004532,9705052029,77 - г.Москва,,2016-01-08,Нет,Нет,Нет,130.0,9485171
142421,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АК7""",Малое предприятие,5157746099066,7704337437,77 - г.Москва,,2016-01-08,Нет,Нет,Нет,24.0,9523223
142469,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АКАДЕМИЯ КАЧЕСТВА""",Малое предприятие,1161690134869,1649036315,16 - Республика Татарстан (Татарстан),г Лениногорск,2016-01-08,Да,Нет,Нет,40.0,9865540
142530,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АКАДЕМПРОЕКТ""",Малое предприятие,1185835007093,5834121146,58 - Пензенская область,г Пенза,2018-10-06,Нет,Нет,Нет,29.0,10677754
142572,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АКАМАС""",Малое предприятие,1179102027610,9102236971,91 - Республика Крым,г Симферополь,2017-10-12,Нет,Нет,Нет,13.0,10439395
142597,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АКАС""",Малое предприятие,1127612000922,7612044649,76 - Ярославская область,г Углич,2016-01-08,Да,Нет,Нет,29.0,1103050
142649,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АКВА ПРОФИТ""",Малое предприятие,5117746060405,7734671421,77 - г.Москва,,2016-01-08,Нет,Нет,Нет,48.0,10464
142792,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АКВАМАРИН""",Малое предприятие,1165476083739,5407953260,54 - Новосибирская область,г Новосибирск,2016-01-08,Нет,Нет,Нет,1.0,9684700
142816,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АКВАМАРИН""",Малое предприятие,1022700529015,2703009610,27 - Хабаровский край,г Комсомольск-на-Амуре,2016-01-08,Нет,Нет,Нет,58.0,6798768
142863,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АКВАПРОМСТРОЙ""",Малое предприятие,1146196005713,6164320770,61 - Ростовская область,г Батайск,2016-01-08,Да,Нет,Нет,30.0,8879271
142868,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АКВАПРУВ""",Малое предприятие,1149102057840,9102032939,91 - Республика Крым,г Симферополь,2016-01-08,Нет,Нет,Нет,79.0,8899518
142874,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АКВАРЕЛИ СТРОЙ""",Малое предприятие,1171690103760,1648046712,16 - Республика Татарстан (Татарстан),г Казань,2017-10-11,Нет,Нет,Нет,31.0,10408064
143011,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АКВАТЕХНИК""",Малое предприятие,1167232089485,7203402131,72 - Тюменская область,г Тюмень,2016-10-12,Да,Нет,Нет,57.0,9988910
143029,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АКВАТОРИЯ ТЕПЛА""",Малое предприятие,1115658020257,5614056815,56 - Оренбургская область,г Орск,2016-01-08,Нет,Нет,Нет,22.0,4658388
143047,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АКВАТОРИЯ""",Малое предприятие,1102224002616,2224140706,22 - Алтайский край,г Барнаул,2016-01-08,Нет,Нет,Нет,28.0,1763894
143185,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АКВО""",Малое предприятие,1107746740200,7721702915,77 - г.Москва,,2016-01-08,Нет,Нет,Нет,19.0,364761
143192,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АКДМ СТРОЙ""",Малое предприятие,1197746422741,9721083426,77 - г.Москва,,2019-10-08,Нет,Нет,Нет,12.0,11071229
143254,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АККОРД А""",Малое предприятие,1121690053473,1655248928,16 - Республика Татарстан (Татарстан),г Казань,2016-01-08,Нет,Нет,Нет,8.0,7486934
143310,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АККОРД""",Малое предприятие,1185053054592,5032302155,50 - Московская область,,2019-10-01,Нет,Нет,Нет,12.0,10881294
143311,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АККОРД""",Малое предприятие,1177746879067,9705105680,77 - г.Москва,,2017-10-09,Да,Нет,Нет,38.0,10340003
143403,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АКОНС ПРО""",Малое предприятие,1169102070543,9102210701,91 - Республика Крым,г Симферополь,2020-10-08,Нет,Нет,Нет,5.0,9755884
143467,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АКРИФ СТРОЙ""",Малое предприятие,1143528002287,3528211358,35 - Вологодская область,г Череповец,2016-01-08,Нет,Нет,Нет,24.0,8362890
143507,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АКРОПОЛЬ-М""",Малое предприятие,5085904002179,5904200891,59 - Пермский край,г Пермь,2016-01-08,Да,Нет,Нет,40.0,5159061
143509,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АКРОПОЛЬ""",Малое предприятие,1020201812146,262002911,02 - Республика Башкортостан,г Кумертау,2016-01-08,Да,Нет,Нет,2.0,6720469
143813,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АКСИС""",Малое предприятие,1157746070833,7724304278,77 - г.Москва,,2016-01-08,Да,Нет,Нет,26.0,9065795
143878,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АКТАВЕСТ МЕТРО ГЛОБАЛ""",Среднее предприятие,1169102091333,9102221767,91 - Республика Крым,г Ялта,2016-10-12,Да,Нет,Нет,12.0,10021871
143915,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АКТИВ ГРУПП""",Малое предприятие,1062310003194,2310110840,20 - Чеченская Республика,г Гудермес,2016-01-08,Нет,Нет,Нет,3.0,6320009
143927,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АКТИВ ПЛЮС""",Малое предприятие,1097232011502,7203233532,72 - Тюменская область,г Тюмень,2016-01-08,Да,Нет,Нет,17.0,4417337
143997,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АКТИВ-СТРОЙ""",Малое предприятие,1126455001683,6455056223,64 - Саратовская область,г Саратов,2016-01-08,Нет,Нет,Нет,54.0,7494974
